                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.7875,                 2.0435,                0.91505,                0.90023,                0.78591,                0.64835,                0.72757,                0.30144,                0.66155,                0.52026,                0.57951,                 0.1813,                 2.0439,                 2.5985,                  1.268,                 1.0013,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7796,                 2.0955,                0.89984,                0.91297,                0.82375,                0.70896,                0.78578,                0.31948,                0.70454,                0.56944,                0.59154,                0.19579,                 1.9752,                 2.4564,                 1.0619,                0.98457,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.819,                 2.1231,                0.91736,                0.90636,                0.77244,                0.75124,                 0.7895,                0.32112,                0.63953,                0.60464,                0.59193,                 0.1892,                 1.9732,                 2.4832,                 1.1002,                0.97767,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7943,                 2.0431,                 0.8839,                0.91042,                0.86108,                0.70927,                0.80952,                0.32976,                0.70443,                0.58458,                0.64298,                0.20707,                  1.996,                 2.4627,                 1.0939,                0.97963,               0.000911,               0.000911,               0.000911
                     58,                 1.7718,                 2.0966,                0.88796,                0.91293,                0.79845,                0.72139,                0.78525,                0.30826,                0.58892,                0.57711,                0.56908,                0.16308,                 2.0057,                 2.4798,                 1.1868,                0.98344,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.7464,                 2.0354,                0.87291,                0.90173,                 0.8419,                 0.6791,                0.78996,                 0.3255,                0.70437,                0.55721,                0.61955,                  0.192,                 1.9919,                 2.5345,                 1.1157,                0.98229,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7395,                 2.0189,                0.87153,                0.90169,                0.81925,                0.71034,                0.79036,                0.31536,                0.71906,                0.58706,                0.64141,                0.19589,                 1.9954,                 2.5236,                  1.112,                 0.9906,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6933,                  1.981,                0.82978,                0.90555,                0.82781,                0.74378,                0.80196,                 0.3332,                0.72856,                 0.6343,                0.66881,                 0.2275,                 1.9524,                 2.4267,                  1.082,                 0.9781,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6946,                 1.9895,                0.82838,                0.90045,                0.84295,                0.68657,                0.78912,                0.32254,                0.66707,                0.59701,                0.60885,                0.19525,                 1.9569,                 2.4484,                 1.2119,                0.98088,               0.000812,               0.000812,               0.000812
                     63,                 1.7433,                 2.0814,                0.85941,                0.89824,                0.81933,                0.74627,                0.80491,                0.33258,                0.68737,                0.62352,                0.66545,                0.21443,                 1.9725,                 2.3897,                 1.1755,                0.98569,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.7206,                 2.0368,                0.85057,                0.89676,                0.81463,                0.70896,                0.78402,                0.32892,                0.65877,                0.57214,                0.62572,                0.21343,                 1.9573,                 2.5349,                 1.1344,                 0.9842,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6624,                 2.0075,                0.81364,                0.89561,                0.76399,                0.76617,                0.79029,                0.32651,                0.64989,                0.65174,                0.64969,                0.21438,                 1.9655,                 2.5104,                 1.1544,                0.98121,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.7084,                 1.9899,                0.83282,                0.89236,                0.78438,                0.74202,                0.78849,                0.32638,                0.66652,                0.63144,                0.62675,                 0.2192,                  1.982,                 2.5572,                 1.1335,                0.97825,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.691,                  2.015,                0.81143,                0.89201,                0.83847,                0.73599,                0.81605,                0.32944,                0.66435,                0.66915,                0.64671,                0.19855,                 2.0139,                 2.5057,                 1.0532,                0.98885,               0.000713,               0.000713,               0.000713
                     68,                 1.6713,                 1.9634,                0.79684,                0.89127,                0.79498,                0.78856,                0.80331,                0.32088,                0.70506,                0.59466,                0.63019,                0.19096,                 2.0234,                 2.5167,                 1.0716,                0.99372,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.6631,                 1.9567,                 0.7959,                0.88681,                0.83893,                0.75622,                0.81705,                0.33173,                0.72283,                0.63577,                0.65867,                0.20518,                 2.0044,                  2.453,                 1.1063,                0.98807,              0.0006734,              0.0006734,              0.0006734
