                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.97553,                0.39687,                 1.0266,                0.89017,                0.95985,                0.91671,                0.45312,                 1.8132,                0.62784,                 1.6256,              0.0002972,              0.0002972,              0.0002972
                     89,                0.97244,                0.39622,                 1.0272,                0.89995,                0.94682,                0.91465,                0.44965,                 1.8234,                0.63655,                 1.6375,              0.0002774,              0.0002774,              0.0002774
                     90,                0.95889,                0.38918,                 1.0236,                0.90545,                0.94509,                0.92661,                0.44512,                  1.824,                0.63151,                 1.6231,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0086,                0.37858,                 1.0764,                0.90716,                0.97368,                0.94705,                0.44879,                 1.8391,                0.62787,                 1.6345,              0.0002378,              0.0002378,              0.0002378
                     92,                0.94776,                0.35554,                 1.0426,                0.88952,                0.95351,                0.92202,                0.46672,                 1.7895,                0.61477,                 1.5889,               0.000218,               0.000218,               0.000218
                     93,                0.94958,                0.35873,                 1.0484,                0.88948,                0.95309,                0.93393,                0.46448,                 1.8242,                0.65028,                 1.6283,              0.0001982,              0.0001982,              0.0001982
                     94,                0.94602,                0.36027,                 1.0478,                0.88279,                0.94737,                0.90281,                0.43382,                 1.8435,                0.64455,                  1.651,              0.0001784,              0.0001784,              0.0001784
                     95,                0.93588,                0.35352,                  1.027,                0.87249,                0.94737,                0.89645,                0.43803,                 1.8433,                0.62961,                 1.6513,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.9261,                0.35447,                 1.0347,                0.87698,                0.94079,                0.89329,                0.43074,                 1.8475,                0.64779,                 1.6661,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.9254,                0.35277,                 1.0333,                0.87723,                0.94737,                0.89598,                0.43878,                 1.8388,                0.63392,                 1.6592,               0.000119,               0.000119,               0.000119
                     98,                 0.9232,                0.34908,                 1.0386,                  0.878,                 0.9469,                0.89899,                0.44142,                 1.8576,                0.64758,                 1.6757,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.88778,                0.33944,                 1.0125,                0.88406,                0.95317,                0.90616,                0.44658,                 1.8526,                0.64465,                 1.6633,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.91378,                0.34828,                 1.0296,                0.88233,                0.95395,                0.90453,                0.44053,                 1.8531,                0.64583,                 1.6711,               5.96e-05,               5.96e-05,               5.96e-05
